SMM-ID,lat,long,name,city,municipality,country,rank,reference,eary_preclassic_2000bc_1000_bc,middle_preclassic_1000bc_400bc,late_preclassic_400bc_100ad,early_classic_250ad_600ad,late_classic_600ad_800ad,terminal_classic_800ad_900ad,early_postclassic_900ad_1200ad,late_postclassic_1200ad_1519ad,post_conquest_1520ad_1697ad,time_check_01,time_check_02,time_no_data_found
43,-90.19619,20.64824,Chunchucmil,Maxcanu,Yucatan,Mexico,2,Ref. Witschey 2009,,,,X,X,X,,,,X,X,
44,-90.226,14.79616,Conacaste,Sanarate,El Progreso,Guatemala,2,Ref. 1991;IGM; IAH GT Map,,,,,,,,,,X,X,X
45,-91.52283,15.22512,Cucal o Pucal,Malacatancito,Huehuetenango,Guatemala,2,Ref. 1991;IGM; IAH GT Map,,,,,,,,,,X,X,X
46,-89.2663,16.26636,Cuevas de Najtunich,Poptun,Peten,Guatemala,2,Ref. 1991;IGM; IAH GT Map,,,X,X,X,X,,,,X,X,
47,-89.64742,16.39356,Cuevas de San Miguel,Dolores,Peten,Guatemala,2,Ref. 1991;IGM; IAH GT Map,,,,,,,,,,X,X,X
48,-89.00584594,17.73046653,Dos Hombres/737,,Orange Walk,Belize,2,Ref. Vaughan 2006,,,,,,,,,,X,X,X
49,-90.30332468,16.43712457,Dos Pilas,Sayaxche,Peten,Guatemala,2,Ref. Demarest 1981,,,,,X,,,,,X,X,
50,-89.59722834,21.09091401,Dzibilchaltun,Merida,Yucatan,Mexico,2,Ref. Witschey 2007,,X,X,X,X,X,X,X,,X,X,
51,-88.92992973,21.28142977,Dzilam Gonzalez,Dzilam Gonzalez,Yucatan,Mexico,2,Ref. Covarrubias; Villanueva 2008,,,,,,,,,,X,X,X
52,-90.22908,19.59667,Edzna,Campeche,Campeche,Mexico,2,Ref. Witschey 2009,,,X,X,X,X,X,X,,X,X,
53,-88.13583333,20.892,Ek Balam,Temozon,Yucatan,Mexico,2,Ref. Mayer 2006,,X,X,X,X,X,,,,X,X,
54,-91.00853267,14.36557653,El Baul,Santa Lucia Cotzumalguapa,Escuintla,Guatemala,2,Ref. Kelly 1996,X,X,X,X,X,X,X,,,X,X,
55,-90.06232155,16.51226195,El Ceibal,Sayaxche,Peten,Guatemala,2,Ref. Kelly 1996,,X,X,X,X,X,X,,,X,X,
56,-89.65471,14.49636,El Chile,Agua Blanca,Jutiapa,Guatemala,2,Ref. 1991;IGM; IAH GT Map,,,,,,,,,,X,X,X
57,-89.79764,14.65665,El Durazno,San Pedro Pinula,Jalapa,Guatemala,2,Ref. 1991;IGM; IAH GT Map,,,,,,,,,,X,X,X
58,-92.11743,14.76364,El Jarain,Ayutla,San Marcos,Guatemala,2,Ref. 1991;IGM; IAH GT Map,,,,,,,,,,X,X,X
59,-92.12872,14.67285,El Jobo,Tecun Uman,San Marcos,Guatemala,2,Ref. 1991;IGM; IAH GT Map,,,,,,,,,,X,X,X
60,-89.98639,14.64777,El Sare,Jalapa,Jalapa,Guatemala,2,Ref. 1991;IGM; IAH GT Map,,,,,,,,,,X,X,X
61,-89.81966667,17.23666667,El Zotz,San Jose,Peten,Guatemala,2,Ref. Mayer 2006,,,,,,,,,,X,X,X
62,-89.07350117,17.07688578,Guaycamayo,,Cayo,Belize,2,Ref. Webster et al 2004,,,,,,,,,,X,X,X
63,-89.97367,14.92193,Guaytan,San Agustin Acasaguastlan,El Progreso,Guatemala,2,Ref. 1991;IGM; IAH GT Map,,,,X,X,,,,,X,X,
64,-89.91295,20.07898,Halal,Hecelchakan,Campeche,Mexico,2,Ref. Witschey 2009,,,,,,,,,,X,X,X
65,-89.77168844,19.40775095,Hochob,Hopelchen,Campeche,Mexico,2,Ref. Kelly 1993,,,,,X,,,,,X,X,
66,-88.261414,18.90239,Ichkabal,,Quintana Roo,Mexico,2,Ref. Perez,,,,,,,,,,X,X,X
67,-90.48285,16.58237,Itzan,La Libertad,Peten,Guatemala,2,Ref. 1991;IGM; IAH GT Map,,X,X,X,X,,,,,X,X,
68,-90.16653,16.91558,Itzimte,San Benito,Peten,Guatemala,2,Ref. 1991;IGM; IAH GT Map,,,,,,,,,,X,X,X
69,-89.73161,20.01552,Itzimte,Hopelchen,Campeche,Mexico,2,Ref. Dunning 1992,,,,X,X,X,X,,,X,X,
70,-90.99559411,14.73494803,Iximche,Tecpan Guatemala,Chimaltenango,Guatemala,2,Ref. Kelly 1996,,,,,,,,X,,X,X,
71,-91.29947,14.13833,Ixtepeque,Nueva Concepcion,Escuintla,Guatemala,2,Ref. 1991;IGM; IAH GT Map,,,,,,,,,,X,X,X
72,-89.39475,16.50856667,Ixtonton,Dolores,Peten,Guatemala,2,Ref. Mayer 2006,,,X,X,X,X,X,,,X,X,
73,-89.6477,20.24802,Kabah,Santa Elena,Yucatan,Mexico,2,Ref. Witschey 2009,,X,X,X,X,X,,,,X,X,
74,-89.79569,19.96837,Kichmook,Hopelchen,Campeche,Mexico,2,Ref. Muller 1960,,,,,,,,,,X,X,X
75,-89.25128,17.69405,Kinal,Melchor de Mencos,Peten,Guatemala,2,Ref. 1991;IGM; IAH GT Map,,,,,X,,,,,X,,
76,-88.793,18.4197,Kohunlich,Othon P. Blanco,Quintana Roo,Mexico,2,Ref. Kelly 1998,,,X,X,X,X,,,,X,X,
77,-89.66516887,21.09925945,Komchen,Merida,Yucatan,Mexico,2,Ref. Brown C T 1999,,X,X,,,,,,,X,X,
78,-92.14019,14.59213,La Blanca,Ocos,San Marcos,Guatemala,2,Ref. 1991;IGM; IAH GT Map,,X,,,,,,,,X,X,
