SMM-ID,lat,long,name,city,municipality,country,rank,reference,eary_preclassic_2000bc_1000_bc,middle_preclassic_1000bc_400bc,late_preclassic_400bc_100ad,early_classic_250ad_600ad,late_classic_600ad_800ad,terminal_classic_800ad_900ad,early_postclassic_900ad_1200ad,late_postclassic_1200ad_1519ad,post_conquest_1520ad_1697ad,time_check_01,time_check_02,time_no_data_found
1620,-89.58892,20.22625,Chunhuitz,Santa Elena,Yucatan,Mexico,4,Ref. Dunning 1992,,,,,,,,,,,,
1621,-87.72642809,21.3931995,Chunhule,Tizimin,Yucatan,Mexico,4,Ref. Garza and Kurjack 1980,,,,,,,,,,,,
1622,-88.83833956,21.31419279,Chunjabin,Dzilam Gonzalez,Yucatan,Mexico,4,Ref. Covarrubias; Villanueva 2008,,,,,,,,,,,,
1623,-90.14425451,18.76447305,Chunjabin,Champoton,Campeche,Mexico,4,Ref. Ford 2004 NGS map,,,,,,,,,,,,
1624,-89.53938,19.34055,Chunlimon,Hopelchen,Campeche,Mexico,4,Ref. Ashmore 1981 Fig 9.1,,,,,,,,,,,,
1625,-89.25202588,19.87161326,Chunmu,Tekax De Alvaro Obregon,Yucatan,Mexico,4,Ref. Blom et al 1940,,,,,,,,,,,,
1626,-89.82793311,20.94539156,Chunmulta,Hunucma,Yucatan,Mexico,4,Ref. Robles and Andrews 2003,,,,,,,,,,,,
1627,-87.76206075,19.93530076,Chunpom,Felipe Carrillo Puerto,Quintana Roo,Mexico,4,Ref. Blom et al 1940,,,,,,,,,,,,
1628,-89.00512896,21.11953154,Chunwaas,Tepakan,Yucatan,Mexico,4,Ref. Covarrubias; Villanueva 2008,,,,,,,,,,,,
1629,-88.73673263,21.1179254,Chunya,Buctzotz,Yucatan,Mexico,4,Ref. Covarrubias; Villanueva 2008,,,,,,,,,,,,
1630,-88.32314715,20.79042617,Chunya,Uayma,Yucatan,Mexico,4,Ref. Ringle and Bey 2004,,,,,,,,,,,,
1631,-89.79589,20.08584,Chunyaxnic,Hopelchen,Campeche,Mexico,4,Ref. Dunning 1992,,,,,,,,,,,,
1632,-88.56776299,17.30537929,Churchyard,,Belize,Belize,4,Ref. McAnany 2008,,,,,,,,,,,,
1633,-91.42084,15.03753,Chuti Mesabal,Momostenango,Totonicapan,Guatemala,4,Ref. 1991;IGM; IAH GT Map,,,,,,,,,,,,
1634,-89.21065,17.23713,Chuvis,Melchor de Mencos,Peten,Guatemala,4,Ref. 1991;IGM; IAH GT Map,,,,,,,,,,,,
1635,-89.6497,20.08095,Chuybil,Hopelchen,Campeche,Mexico,4,Ref. Merk 2008,,,,,,,,,,,,
1636,-88.5402214,20.51685118,Cibak,Chankom,Yucatan,Mexico,4,Ref. Garza and Kurjack 1980,,,,,,,,,,,,
1637,-89.82948607,20.30560133,Cibche,Calkini,Campeche,Mexico,4,Ref. Garza and Kurjack 1980,,,,,,,,,,,,
1638,-89.21094,18.40699,Ciebarico,Hopelchen,Campeche,Mexico,4,Ref. Muller 1959,,,,,,,,,,,,
1639,-91.84458,16.04235,Cieneguilla,La Trinitaria,Chiapas,Mexico,4,Ref. Pina Chan 1967,,,,,,,,,,,,
1640,-91.8169,15.93611,Cieneguillas,La Trinitaria,Chiapas,Mexico,4,Ref. Pina Chan 1967,,,,,,,,,,,,
1641,-89.16276988,13.99204752,Cihuatan,Suchitoto,Cuscatlan,El Salvador,4,Ref. Kelly 1996,,,,,,,X,,,,,
1642,-90.28969,18.64177,Cilvituk,Champoton,Campeche,Mexico,4,Ref. Ashmore 1981 Fig 9.1,,,,,,,,,,,,
1643,-91.7002644,15.95994946,Cimarron,Nenton,Huehuetenango,Guatemala,4,Ref. Blom et al 1940,,,,,,,,,,,,
1644,-90.46473,15.02766,Cimiento Chirrum,Rabinal,Baja Verapaz,Guatemala,4,Ref. 1991;IGM; IAH GT Map,,,,,,,,,,,,
1645,-92.00268,16.06094,Cimientos,La Trinitaria,Chiapas,Mexico,4,Ref. Pina Chan 1967,,,,,,,,,,,,
1646,-90.38698833,20.8570561,Cimitun,Celestun,Yucatan,Mexico,4,Ref. Garza and Kurjack 1980,,,,,,,,,,,,
1647,-91.87675,17.64602,Cinco de Mayo,Palenque,Chiapas,Mexico,4,Ref. Pina Chan 1967,,,,,,,,,,,,
1648,-86.77045,20.55131,Cinco Manos or Las Grecas,Cozumel,Quintana Roo,Mexico,4,Ref. Hammond 1974,,,,,,,,,,,,
1649,-86.93192,20.3088,Cinco Puertos,Cozumel,Quintana Roo,Mexico,4,Ref. Hammond 1974,,,,,,,,,,,,
1650,-93.72745,16.67716,Cintalapa,Cintalapa,Chiapas,Mexico,4,Ref. Pina Chan 1967,,,,,,,,,,,,
1651,-92.46555,17.08408,Citala,Pantelho,Chiapas,Mexico,4,Ref. Pina Chan 1967,,,,,,,,,,,,
1652,-89.11879131,20.95569854,Citilcum,Izamal,Yucatan,Mexico,4,Ref. Covarrubias; Villanueva 2008,,,,,,,,,,,,
1653,-89.5408317,20.51458064,Citincabchen,Chapab,Yucatan,Mexico,4,Ref. Brown C T 2004,,,,,,,,,,,,
1654,-91.77535,16.91405,Ciudad de los Muertos,Ocosingo,Chiapas,Mexico,4,Ref. Pina Chan 1967,,,,,,,,,,,,
1655,-86.57016121,15.40791354,Ciudad Vieja,Olanchito,Yoro,Honduras,4,Ref. Blom et al 1940,,,,,,,,,,,,
1656,-88.78408,18.24578,Clarksville,Othon P. Blanco,Quintana Roo,Mexico,4,Ref. Muller 1959,,,,,,,,,,,,
1657,-92.65344,17.04187,Coana,Chalchihuitan,Chiapas,Mexico,4,Ref. Pina Chan 1967,,,,,,,,,,,,
1658,-95.08902777,18.36544516,Coatzacoalcos,Catemaco,Veracruz,Mexico,4,Ref. Blom et al 1940,,,,,,,,,,,,
1659,-87.7217,20.50965,Coba sacbe,Solidaridad,Quintana Roo,Mexico,4,Ref. Witschey 2001,,,,,,,,,,,,
1660,-87.73772,20.51765,Coba sacbe,Solidaridad,Quintana Roo,Mexico,4,Ref. Witschey 2001,,,,,,,,,,,,
1661,-87.71387,20.50279,Coba sacbe,Solidaridad,Quintana Roo,Mexico,4,Ref. Witschey 2001,,,,,,,,,,,,
1662,-87.72999,20.51385,Coba sacbe,Solidaridad,Quintana Roo,Mexico,4,Ref. Witschey 2001,,,,,,,,,,,,
1663,-88.27055332,20.5153861,Coba Yaxuna Sacbe,,,Mexico,4,Ref. Kelly 1993,,,,,,,,,,,,
1664,-88.63057,20.53892,Coba Yaxuna sacbe,,,Mexico,4,Ref. Witschey 2009,,,,,,,,,,,,
1665,-88.6419,20.53928,Coba Yaxuna sacbe,,,Mexico,4,Ref. Witschey 2009,,,,,,,,,,,,
1666,-88.62135,20.5385,Coba Yaxuna sacbe,,,Mexico,4,Ref. Witschey 2009,,,,,,,,,,,,
1667,-88.65916,20.53986,Coba Yaxuna sacbe,,,Mexico,4,Ref. Witschey 2009,,,,,,,,,,,,
1668,-86.88182,20.86817,Cocal 1,Benito Juarez,Quintana Roo,Mexico,4,Ref. Muller 1959,,,,,,,,,,,,
1669,-86.90548,20.8651,Cocal 2,Benito Juarez,Quintana Roo,Mexico,4,Ref. Muller 1959,,,,,,,,,,,,
1670,-93.32116812,18.40232857,Cocohital,Comalcalco,Tabasco,Mexico,4,Ref. West et al 1969,,,,,,,,,,,,
1671,-87.83551444,21.40714741,Cocoyol,Tizimin,Yucatan,Mexico,4,Ref. Kepecs 1999,,,,,,,,,,,,
1672,-88.0474064,13.62366614,Cofradia,Jocoro,Morazan,El Salvador,4,Ref. Blom et al 1940,,,,,,,,,,,,
1673,-89.09740167,16.81895067,Cohune,,,,4,Ref. Chase and Chase 2004,,,,,,,,,,,,
1674,-91.28707506,14.61169185,Cojoljuyo,San Pedro La Laguna,Suchitepequez,Guatemala,4,Ref. Blom et al 1940,,,,,,,,,,,,
1675,-93.2845,16.33292,Col. Calzada Larga,Villaflores,Chiapas,Mexico,4,Ref. Pina Chan 1967,,,,,,,,,,,,
1676,-93.18078,17.26513,Col. Guadalupe Victoria,Chapultenango,Chiapas,Mexico,4,Ref. Pina Chan 1967,,,,,,,,,,,,
1677,-92.53458,16.07198,Col. Ninos Heroes,La Concordia,Chiapas,Mexico,4,Ref. Pina Chan 1967,,,,,,,,,,,,
1678,-93.47164,17.4302,Col. Plan de Ayala,Ostuacan,Chiapas,Mexico,4,Ref. Pina Chan 1967,,,,,,,,,,,,
1679,-92.98251,16.19975,Col. Revolucion,Villa Corzo,Chiapas,Mexico,4,Ref. Pina Chan 1967,,,,,,,,,,,,
1680,-91.75025,16.83756,Col. Santo Domingo,Ocosingo,Chiapas,Mexico,4,Ref. Pina Chan 1967,,,,,,,,,,,,
1681,-92.08929,15.85945,Col. Tierra Blanca,Frontera Comalapa,Chiapas,Mexico,4,Ref. Pina Chan 1967,,,,,,,,,,,,
1682,-92.00043,16.71593,Col. Victorico Grajales,Altamirano,Chiapas,Mexico,4,Ref. Pina Chan 1967,,,,,,,,,,,,
1683,-92.92187,16.19552,Col. Villa Morelos,Villa Corzo,Chiapas,Mexico,4,Ref. Pina Chan 1967,,,,,,,,,,,,
1684,-88.40034,17.97212,Colha,,Orange Walk,Belize,4,Ref. Ashmore 1981 p 158,,,,,,,,,,,,
1685,-92.1281969,17.01150172,Cololte,Chilon,Chiapas,Mexico,4,Ref. Blom et al 1940,,,,,,,,,,,,
1686,-92.04561,16.84021,Cololte,Ocosingo,Chiapas,Mexico,4,Ref. Pina Chan 1967,,,,,,,,,,,,
1687,-89.3729693,13.7162513,Colon,Colon,La Libertad,El Salvador,4,Ref. Blom et al 1940,,,,,,,,,,,,
1688,-89.925,16.99166667,Colonia Itza,San Andres,Peten,Guatemala,4,Ref. Ford 2004 Paseo Pantera,,,,,,,,,,,,
1689,-87.47282,19.79575,Colonia Javier Rojo Gomez,Felipe Carrillo Puerto,Quintana Roo,Mexico,4,Ref. Andrews E W; Andrews A P,,,,,,,,,,,,
1690,-87.71446954,21.20207213,Colonia Yucatan no name,Tizimin,Yucatan,Mexico,4,Ref. Gongora S 2001,,,,,,,,,,,,
1691,-89.45944444,17.06138889,Coloradita,Flores,Peten,Guatemala,4,Ref. Ford 2004 Paseo Pantera,,,,,,,,,,,,
1692,-88.24756,17.05841,Colson Point,,Stann Creek,Belize,4,Ref. Ashmore 1981 p 158,,,,,,,,,,,,
1693,-90.87064425,14.76862793,Comalapa,Comalapa,Chimaltenango,Guatemala,4,Ref. Blom et al 1940,,,,,,,,,,,,
1694,-89.75173871,21.0874728,Cometa,Merida,Yucatan,Mexico,4,Ref. Robles and Andrews 2003,,,,,,,,,,,,
1695,-92.11024,16.23606,Comitan,Comitan De Dominguez,Chiapas,Mexico,4,Ref. Pina Chan 1967,,,,,,,,,,,,
1696,-92.59823174,18.53621285,Concepcion,Centla,Tabasco,Mexico,4,Ref. West et al 1969,,,,,,,,,,,,
1697,-92.60191971,18.52239523,Concepcion,Centla,Tabasco,Mexico,4,Ref. Berlin 1953,,,,,,,,,,,,
1698,-90.11039,18.2113,Concepcion,Champoton,Campeche,Mexico,4,Ref. Rupert and Dennison 1943,,,,,,,,,,,,
1699,-91.66077997,15.62743466,Concepcion,Concepcion Huista,Huehuetenango,Guatemala,4,Ref. Borgstede 2002,,,,,,,,,,,,
1700,-87.85909293,13.28844229,Conchagua,Conchagua,La Union,El Salvador,4,Ref. Blom et al 1940,,,,,,,,,,,,
1701,-89.09991033,16.74076194,Conchita,,,,4,Ref. Chase and Chase 2004,,,,,,,,,,,,
1702,-87.75777029,13.24322415,Conchuagua Vieja,Isla,La Union,El Salvador,4,Ref. Ford 2004 NGS map,,,,,,,,,,,,
1703,-90.65843,16.57028,Confluencia,Ocosingo,Chiapas,Mexico,4,Ref. Pina Chan 1967,,,,,,,,,,,,
1704,-89.52077922,13.88311071,Congo,El Congo,Santa Ana,El Salvador,4,Ref. Blom et al 1940,,,,,,,,,,,,
1705,-87.61345342,14.32748022,Conquigue,Villa de San Antonio,Comayagua,Honduras,4,Ref. Blom et al 1940,,,,,,,,,,,,
1706,-96.40399154,19.24224063,Conquista,Paso De Ovejas,Veracruz,Mexico,4,Ref. Blom et al 1940,,,,,,,,,,,,
1707,-88.35205363,18.4517849,Consejo,,Corozal,Belize,4,Ref. Masson and Mock 1981 Fig 17.1,,,,,,,,,,,,
1708,-89.05500747,13.92979372,Consolacion,Suchitoto,Cuscatlan,El Salvador,4,Ref. Blom et al 1940,,,,,,,,,,,,
1709,-89.48666,20.23225,Contreras,Oxkutzcab,Yucatan,Mexico,4,Ref. Dunning 1992,,,,,,,,,,,,
1710,-89.53527019,20.39770621,Convento de Ticul,Ticul,Yucatan,Mexico,4,Ref. Garza and Kurjack 1980,,,,,,,,,,,,
1711,-88.9994103,21.10291808,Cooperativa,Tepakan,Yucatan,Mexico,4,Ref. Covarrubias; Villanueva 2008,,,,,,,,,,,,
1712,-89.47512,20.2288,Cooperativa A and B,Oxkutzcab,Yucatan,Mexico,4,Ref. Dunning 1992,,,,,,,,,,,,
1713,-89.4589,20.23174,Cooperativa C  Chakpichi,Oxkutzcab,Yucatan,Mexico,4,Ref. Dunning 1992,,,,,,,,,,,,
1714,-89.464303,20.225449,Cooperativa D,,,,4,Ref. Gallareta C 2009,,,,,,,,,,,,
1715,-89.49622,20.23211,Cooperativa E,Oxkutzcab,Yucatan,Mexico,4,Ref. Dunning 1992,,,,,,,,,,,,
1716,-91.5589387,15.70179782,Copa I,San Rafael la Indepencia,Huehuetenango,Guatemala,4,Ref. Borgstede 2002,,,,,,,,,,,,
1717,-91.56578453,15.69950196,Copa II,San Miguel Acatan,Huehuetenango,Guatemala,4,Ref. Borgstede 2002,,,,,,,,,,,,
1718,-93.20751,17.06046,Copainala,Copainala,Chiapas,Mexico,4,Ref. Pina Chan 1967,,,,,,,,,,,,
1719,-92.35735,16.17257,Copanaguastla,Socoltenango,Chiapas,Mexico,4,Ref. Pina Chan 1967,,,,,,,,,,,,
1720,-92.71172856,16.61719564,Copanbastle,San Lucas,Chiapas,Mexico,4,Ref. Blom et al 1940,,,,,,,,,,,,
1721,-86.22115026,15.55173674,Copete,Saba,Colon,Honduras,4,Ref. Blom et al 1940,,,,,,,,,,,,
1722,-89.53266,16.70654,Copoja,Santa Ana,Peten,Guatemala,4,Ref. Ashmore 1981 Fig 6,,,,,,,,,,,,
1723,-93.1261,16.6716,Copoya,Tuxtla Gutierrez,Chiapas,Mexico,4,Ref. Pina Chan 1967,,,,,,,,,,,,
1724,-91.42904183,15.75019951,Coptelac,Santa Eulalia,Huehuetenango,Guatemala,4,Ref. Blom et al 1940,,,,,,,,,,,,
1725,-87.95191463,13.76846307,Corinto,Lislique,La Union,El Salvador,4,Ref. Blom et al 1940,,,,,,,,,,,,
1726,-88.04881919,13.74648389,Coroban,Lolotiquillo,Morazan,El Salvador,4,Ref. Ford 2004 NGS map,,,,,,,,,,,,
1727,-88.38211,18.393,Corozal,,Corozal,Belize,4,Ref. Cortes de B 1984,,,,,,,,,,,,
1728,-89.52490622,17.65644602,Corozal,Flores,Peten,Guatemala,4,Ref. Ford 2004 SEGEPLAN,,,,,,,,,,,,
1729,-89.51305556,16.9875,Corozal torre,Flores,Peten,Guatemala,4,Ref. Ford 2004 Paseo Pantera,,,,,,,,,,,,
1730,-88.87032088,14.57190998,Corquin,Corquin,Copan,Honduras,4,Ref. Blom et al 1940,,,,,,,,,,,,
1731,-91.86058459,15.763689,Corral Chen,Santa Ana Huista,Huehuetenango,Guatemala,4,Ref. Borgstede 2002,,,,,,,,,,,,
1732,-91.7770356,15.76540512,Corral Chen,Jacaltenango,Huehuetenango,Guatemala,4,Ref. Borgstede 2002,,,,,,,,,,,,
1733,-92.06164,16.00622,Corral de Piedra,La Trinitaria,Chiapas,Mexico,4,Ref. Pina Chan 1967,,,,,,,,,,,,
1734,-91.75763983,17.76427104,Corral Nuevo,Emiliano Zapata,Tabasco,Mexico,4,Ref. Berlin 1953,,,,,,,,,,,,
1735,-89.27637,18.6364,Corriental,Hopelchen,Campeche,Mexico,4,Ref. Muller 1959,,,,,,,,,,,,
1736,-88.57375186,18.40091689,Corrientes,Othon P. Blanco,Quintana Roo,Mexico,4,Ref. Blom et al 1940,,,,,,,,,,,,
1737,-88.58445,18.33072,Corrientes,Othon P. Blanco,Quintana Roo,Mexico,4,Ref. Muller 1959,,,,,,,,,,,,
1738,-93.24118,16.03234,Corrizol,Villa Corzo,Chiapas,Mexico,4,Ref. Pina Chan 1967,,,,,,,,,,,,
1739,-89.69891226,21.09193317,Cosgaya 1,Merida,Yucatan,Mexico,4,Ref. Robles and Andrews 2003,,,,,,,,,,,,
1740,-88.52138511,20.55134726,Cosil,Chankom,Yucatan,Mexico,4,Ref. Garza and Kurjack 1980,,,,,,,,,,,,
1741,-88.16022861,20.91658154,Cosil,Temozon,Yucatan,Mexico,4,Ref. Bey et al 1998,,,,,,,,,,,,
1742,-94.64667688,17.99657879,Cosoleacaque,Cosoleacaque,Veracruz,Mexico,4,Ref. Blom et al 1940,,,,,,,,,,,,
1743,-91.23403,14.21387,Costa Rica,La Gomera,Escuintla,Guatemala,4,Ref. 1991;IGM; IAH GT Map,,,,,,,,,,,,
1744,-96.40018875,18.82959725,Cotaxtla,Cotaxtla,Veracruz,Mexico,4,Ref. Blom et al 1940,,,,,,,,,,,,
1745,-89.31373149,20.18403999,Cotbe,Tekax De Alvaro Obregon,Yucatan,Mexico,4,Ref. Garza and Kurjack 1980,,,,,,,,,,,,
1746,-90.58712,14.62433,Cotlo,Mixco,Guatemala,Guatemala,4,Ref. 1991;IGM; IAH GT Map,,,,,,,,,,,,
1747,-89.50937305,13.90157225,Coubatltepte,Coatepeque,Santa Ana,El Salvador,4,Ref. Blom et al 1940,,,,,,,,,,,,
1748,-86.56910588,16.31718923,Coxen Hole,Roatan,Islas de la Bahia,Honduras,4,Ref. Blom et al 1940,,,,,,,,,,,,
1749,-86.93391,20.87733,Coxol,Benito Juarez,Quintana Roo,Mexico,4,Ref. Muller 1959,,,,,,,,,,,,
1750,-89.47266963,20.31909863,Coyok,Ticul,Yucatan,Mexico,4,Ref. Blom et al 1940,,,,,,,,,,,,
1751,-90.74316,14.29652,Coyol,Escuintla,Escuintla,Guatemala,4,Ref. 1991;IGM; IAH GT Map,,,,,,,,,,,,
1752,-93.44633,16.38856,Cristobal Obregon,Villaflores,Chiapas,Mexico,4,Ref. Pina Chan 1967,,,,,,,,,,,,
1753,-96.09533146,18.15946051,Crucero,San Juan Bautista Tuxtepec,Oaxaca,Mexico,4,Ref. Blom et al 1940,,,,,,,,,,,,
1754,-92.49676,17.34427,Cruz Tun,Tila,Chiapas,Mexico,4,Ref. Pina Chan 1967,,,,,,,,,,,,
1755,-91.08892,15.10174,Cruzche,Santa Cruz del Quiche,Quiche,Guatemala,4,Ref. 1991;IGM; IAH GT Map,,,,,,,,,,,,
1756,-91.61647955,15.54407829,Cu Manchon,Todos Santos Cuchumatan,Huehuetenango,Guatemala,4,Ref. Blom et al 1940,,,,,,,,,,,,
1757,-88.64782118,13.86683855,Cuacotecti,Guacotecti,Cabanas,El Salvador,4,Ref. Blom et al 1940,,,,,,,,,,,,
1758,-89.88048647,21.07991815,Cubano,Hunucma,Yucatan,Mexico,4,Ref. Robles and Andrews 2003,,,,,,,,,,,,
1759,-90.09520883,20.44339623,Cuch Holoch,Halacho,Yucatan,Mexico,4,Ref. Garza and Kurjack 1980,,,,,,,,,,,,
1760,-88.84780889,14.63194193,Cucuyagua,Cucuyagua,Copan,Honduras,4,Ref. Blom et al 1940,,,,,,,,,,,,
1761,-88.60346883,18.07072971,Cuello,,Orange Walk,Belize,4,Ref. Kelly 1996,,,,,,,,,,,,
1762,-87.54851923,21.28156877,Cueva,Tizimin,Yucatan,Mexico,4,Ref. Gongora S 2001,,,,,,,,,,,,
1763,-91.97631,16.51818,Cueva de Chiptic,Las Margaritas,Chiapas,Mexico,4,Ref. Pina Chan 1967,,,,,,,,,,,,
1764,-91.80178304,15.64832552,Cueva de los Reyes,San Antonio Huista,Huehuetenango,Guatemala,4,Ref. Borgstede 2002,,,,,,,,,,,,
1765,-88.41663988,21.38891393,Cueva De San Ramon,Panaba,Yucatan,Mexico,4,Ref. Covarrubias; Villanueva 2008,,,,,,,,,,,,
1766,-96.33022425,16.97884305,Cueva del Diablo,San Pablo Villa De Mitla,Oaxaca,Mexico,4,Ref. Blom et al 1940,,,,,,,,,,,,
1767,-90.00401667,16.89376667,Cueva del Galon,San Benito,Peten,Guatemala,4,Ref. Mayer 2006,,,,,,,,,,,,
1768,-92.43502,17.59294,Cueva del Zopo,Macuspana,Tabasco,Mexico,4,Ref. Pina Chan 1967,,,,,,,,,,,,
1769,-93.14552,16.62821,Cueva Encantata,Suchiapa,Chiapas,Mexico,4,Ref. Pina Chan 1967,,,,,,,,,,,,
1770,-92.78137,16.37529,Cueva Guajil Blanco,Venustiano Carranza,Chiapas,Mexico,4,Ref. Pina Chan 1967,,,,,,,,,,,,
1771,-88.63737545,13.97834401,Cueva Hedionda,Victoria,Cabanas,El Salvador,4,Ref. Blom et al 1940,,,,,,,,,,,,
1772,-92.52221,16.02637,Cueva la Providencia,La Concordia,Chiapas,Mexico,4,Ref. Pina Chan 1967,,,,,,,,,,,,
1773,-87.97755109,13.39717628,Cueva Morelo,San Alejo,La Union,El Salvador,4,Ref. Blom et al 1940,,,,,,,,,,,,
1774,-88.52667711,13.66345799,Cueva Pintada,San Ildefonso,San Vicente,El Salvador,4,Ref. Blom et al 1940,,,,,,,,,,,,
1775,-92.01682,16.08024,Cueva San Francisco,La Trinitaria,Chiapas,Mexico,4,Ref. Pina Chan 1967,,,,,,,,,,,,
1776,-92.27874,15.11359,Cuilco,Tapachula,Chiapas,Mexico,4,Ref. Pina Chan 1967,,,,,,,,,,,,
1777,-91.81657383,15.69957324,Cuja,Santa Ana Huista,Huehuetenango,Guatemala,4,Ref. Blom et al 1940,,,,,,,,,,,,
1778,-89.96977,20.18501,Cumpich,Hecelchakan,Campeche,Mexico,4,Ref. Dunning 1992,,,,,,,,,,,,
1779,-93.16862316,18.06942766,Cunduacan,Cunduacan,Tabasco,Mexico,4,Ref. Berlin 1953,,,,,,,,,,,,
1780,-93.02356,16.64364,Cupia,Chiapa De Corzo,Chiapas,Mexico,4,Ref. Pina Chan 1967,,,,,,,,,,,,
1781,-87.61138748,14.17666656,Cururu,Lamani,Comayagua,Honduras,4,Ref. Blom et al 1940,,,,,,,,,,,,
1782,-93.14049736,18.28412677,Cuscuichapa,Paraiso,Tabasco,Mexico,4,Ref. Blom et al 1940,,,,,,,,,,,,
1783,-93.14123,15.8509,Custapeques,Pijijiapan,Chiapas,Mexico,4,Ref. Pina Chan 1967,,,,,,,,,,,,
1784,-88.89025076,16.51444762,Cuyamel 1 Cave,,Toledo,Belize,4,Ref. Dunham et al 1994,,X,X,,,,,,,,,
1785,-91.95340215,18.61250348,Cuyeros del Puerto Rico,Pendiente,Campeche,Mexico,4,Ref. Matheny 1970,,,,,,,,,,,,
1786,-92.01119,17.83016,Cuyo Alvaro Obregon,Catazaja,Chiapas,Mexico,4,Ref. Pina Chan 1967,,,,,,,,,,,,
1787,-91.07855376,14.53469608,Cuyo Manzo,Pochuta,Chimaltenango,Guatemala,4,Ref. Blom et al 1940,,,,,,,,,,,,
1788,-92.01246,17.84365,Cuyo Sta. Cruz,Catazaja,Chiapas,Mexico,4,Ref. Pina Chan 1967,,,,,,,,,,,,
1789,-89.31633747,20.74122143,Cuzama,Cuzama,Yucatan,Mexico,4,Ref. Garza and Kurjack 1980,,,,,,,,,,,,
1790,-89.95337552,20.79211917,Cuzamal,Samahil,Yucatan,Mexico,4,Ref. Blom et al 1940,,,,,,,,,,,,
1791,-88.91675444,16.59373611,D. S.,,Cayo,Belize,4,Ref. Blom et al 1940,,,,,,,,,,,,
1792,-89.85777778,17.80027778,Danto,San Andres,Peten,Guatemala,4,Ref. Ford 2004 Paseo Pantera,,,,,,,,,,,,
1793,-90.08139595,21.01246777,Datil or no name,Hunucma,Yucatan,Mexico,4,Ref. Robles and Andrews 2003,,,,,,,,,,,,
1794,-92.01675,17.44375,Dchulzum,Palenque,Chiapas,Mexico,4,Ref. Pina Chan 1967,,,,,,,,,,,,
1795,-88.59763,19.15787,de Juarez,Othon P. Blanco,Quintana Roo,Mexico,4,Ref. Ashmore 1981 p 266,,,,,,,,,,,,
1796,-88.15970784,13.77133811,Delicias,Delicias de Concepcion,Morazan,El Salvador,4,Ref. Blom et al 1940,,,,,,,,,,,,
1797,-91.79759,16.75896,Delicias,Ocosingo,Chiapas,Mexico,4,Ref. Pina Chan 1967,,,,,,,,,,,,
1798,-92.8063,15.25035,Delicias de Sacapulco,Acapetahua,Chiapas,Mexico,4,Ref. Pina Chan 1967,,,,,,,,,,,,
1799,-91.72073,16.19404,Delores,La Independencia,Chiapas,Mexico,4,Ref. Pina Chan 1967,,,,,,,,,,,,
1800,-91.76717,16.04122,Desconsuelo,La Trinitaria,Chiapas,Mexico,4,Ref. Pina Chan 1967,,,,,,,,,,,,
1801,-89.24269,18.52755,Desprecio,Hopelchen,Campeche,Mexico,4,Ref. Ashmore 1981 p 236,,,,,,,,,,,,
1802,-89.99666667,17.64666667,Desquite,San Andres,Peten,Guatemala,4,Ref. Ford 2004 Paseo Pantera,,,,,,,,,,,,
1803,-90.91570826,14.37910202,Diamantes,Siquinala,Escuintla,Guatemala,4,Ref. Blom et al 1940,,,,,,,,,,,,
1804,-89.5657808,21.29568976,Diana Milan or Millan,Progreso,Yucatan,Mexico,4,Ref. Garza and Kurjack 1980,,,,,,,,,,,,
1805,-90.03543516,20.14679817,Diclactun,Hecelchakan,Campeche,Mexico,4,Ref. Blom et al 1940,,,,,,,,,,,,
1806,-88.31919,18.50001,Dimas Lopez,Othon P. Blanco,Quintana Roo,Mexico,4,Ref. Muller 1959,,,,,,,,,,,,
1807,-86.48043638,16.3702191,Dixon Site,Roatan,Islas de la Bahia,Honduras,4,Ref. Blom et al 1940,,,,,,,,,,,,
1808,-89.66655,20.10478333,Dolores,Hopelchen,Campeche,Mexico,4,Ref. Merk 2008,,,,,,,,,,,,
1809,-89.66836667,20.08526667,Dolores,Hopelchen,Campeche,Mexico,4,Ref. Merk 2008,,,,,,,,,,,,
1810,-89.6686,20.098,Dolores,Hopelchen,Campeche,Mexico,4,Ref. Merk 2008,,,,,,,,,,,,
1811,-91.68141,16.62284,Dolores,Altamirano,Chiapas,Mexico,4,Ref. Pina Chan 1967,,,,,,,,,,,,
1812,-89.4755615,21.31600369,Dolores,Ixil,Yucatan,Mexico,4,Ref. Garza and Kurjack 1980,,,,,,,,,,,,
1813,-89.68274,20.1192,Dolores,Hopelchen,Campeche,Mexico,4,Ref. Dunning 1992,,,,,,,,,,,,
1814,-88.93742747,21.03517742,Don Concho,Tekal De Venegas,Yucatan,Mexico,4,Ref. Covarrubias; Villanueva 2008,,,,,,,,,,,,
1815,-89.94838128,20.96230709,Don Perozo,Tetiz,Yucatan,Mexico,4,Ref. Robles and Andrews 2003,,,,,,,,,,,,
1816,-91.12435,16.77387,Dorantes,Ocosingo,Chiapas,Mexico,4,Ref. Pina Chan 1967,,,,,,,,,,,,
1817,-89.37516667,17.2605,Dos Aguadas,Flores,Peten,Guatemala,4,Ref. Mayer 2006,,,,,,,,,,,,
1818,-87.9541382,21.2520188,Dos Aguadas,Tizimin,Yucatan,Mexico,4,Ref. Kepecs 1999,,,,,,,,,,,,
1819,-93.1830117,18.42097545,Dos Bocas,Paraiso,Tabasco,Mexico,4,Ref. West et al 1969,,,,,,,,,,,,
1820,-89.07519535,17.0576338,Dos Chombitos,,Cayo,Belize,4,Ref. Webster et al 2004,,,,,,,,,,,,
